,awayteam,hometeam,winner,proba_away,proba_home
0,Bills,Rams,1,0.4529,0.5471
1,Saints,Falcons,0,0.8172,0.1828
2,49ers,Bears,1,0.439,0.561
3,Steelers,Bengals,0,0.7035,0.2965
4,Eagles,Lions,0,0.6325,0.3675
5,Patriots,Dolphins,0,0.5615,0.4385
6,Ravens,Jets,0,0.7734,0.2266
7,Jaguars,Washington,1,0.3293,0.6707
8,Browns,Panthers,1,0.48,0.52
9,Colts,Texans,0,0.5476,0.4524
10,Giants,Titans,1,0.1783,0.8217
11,Packers,Vikings,1,0.4218,0.5782
12,Chiefs,Cardinals,0,0.8478,0.1522
13,Raiders,Chargers,1,0.4274,0.5726
14,Buccaneers,Cowboys,1,0.4581,0.5419
15,Broncos,Seahawks,1,0.2452,0.7548
